issue,date,n1,n2,n3,n4,n5,n6,special
114000034,2025-03-11,2,18,25,37,38,47,42
114000033,2025-03-07,5,7,26,30,40,48,8
114000032,2025-03-04,7,21,31,36,46,47,8
114000031,2025-02-28,7,19,25,26,38,39,4
114000030,2025-02-25,13,15,24,37,38,43,44
114000029,2025-02-21,2,7,27,30,38,49,6
114000028,2025-02-18,5,9,10,31,35,37,30
114000027,2025-02-14,8,11,14,29,33,45,34
114000026,2025-02-12,12,30,31,37,47,49,38
114000025,2025-02-11,7,19,25,27,34,35,12
114000024,2025-02-10,1,18,28,34,35,43,24
114000023,2025-02-09,4,6,13,14,22,25,35
114000022,2025-02-08,3,6,23,26,40,43,2
114000021,2025-02-07,14,22,25,44,46,49,16
114000020,2025-02-06,2,5,18,19,42,45,11
114000019,2025-02-05,3,6,13,32,33,41,44
114000018,2025-02-04,15,17,21,26,30,47,48
114000017,2025-02-03,7,20,29,32,33,39,47
114000016,2025-02-02,10,16,25,28,33,37,13
114000015,2025-02-01,2,9,10,18,39,40,8
114000014,2025-01-31,7,11,13,23,39,42,15
114000013,2025-01-30,5,8,27,29,30,48,35
114000012,2025-01-29,15,17,22,26,32,42,12
114000011,2025-01-28,4,8,20,26,31,34,16
114000010,2025-01-27,11,22,30,35,37,38,33
114000009,2025-01-26,7,12,16,31,40,43,34
114000008,2025-01-25,2,3,10,12,34,40,41
114000007,2025-01-24,6,22,23,30,36,37,13
114000006,2025-01-21,6,21,35,36,38,42,22
114000005,2025-01-17,11,18,32,39,44,49,46
114000004,2025-01-14,1,3,13,15,37,48,42
114000003,2025-01-10,14,29,35,36,37,49,40
114000002,2025-01-07,1,8,20,26,29,35,19
114000001,2025-01-03,6,9,15,29,30,48,23
